team,molarity_M,initial_g,final_g,reported_pct_change
The Guinea Pigs,0.0,4.0,5.1,27.9
The Guinea Pigs,0.2,3.8,3.8,-1.2
The Guinea Pigs,0.4,4.3,3.8,-11.3
The Guinea Pigs,0.6,3.6,2.6,-27.3
The Guinea Pigs,0.8,3.1,2.2,-30.0
The Guinea Pigs,1.0,3.9,2.7,-29.9
Team Opportunity,0.0,4.2,4.8,13.3
Team Opportunity,0.2,4.0,3.9,-3.4
Team Opportunity,0.4,4.1,3.3,-18.6
Team Opportunity,0.6,3.3,2.4,-26.2
Team Opportunity,0.8,4.1,3.0,-26.3
Team Opportunity,1.0,3.7,2.6,-29.3
So Basic,0.0,3.6,4.1,14.8
So Basic,0.2,4.8,4.4,-7.7
So Basic,0.4,2.9,2.5,-15.4
So Basic,0.6,3.5,2.7,-23.1
So Basic,0.8,2.1,1.5,-26.9
So Basic,1.0,4.1,2.8,-30.8
Mighty-chondrias,0.0,3.9,4.9,25.8
Mighty-chondrias,0.2,3.3,3.5,6.1
Mighty-chondrias,0.4,4.3,4.1,-5.8
Mighty-chondrias,0.6,3.7,2.8,-24.2
Mighty-chondrias,0.8,3.5,2.6,-26.8
Mighty-chondrias,1.0,3.8,2.0,-46.1
Mad Scientists,0.0,4.6,5.5,20.6
Mad Scientists,0.2,3.8,3.9,2.9
Mad Scientists,0.4,2.9,2.5,-14.5
Mad Scientists,0.6,2.7,2.1,-23.8
Mad Scientists,0.8,3.7,2.6,-29.0
Mad Scientists,1.0,3.8,2.7,-28.3
DNAwesome,0.0,4.1,4.7,15.0
DNAwesome,0.2,3.1,3.0,-2.9
DNAwesome,0.4,3.5,2.9,-17.7
DNAwesome,0.6,4.3,3.6,-17.2
DNAwesome,0.8,4.7,3.7,-20.6
DNAwesome,1.0,4.0,3.0,-24.2
Contagious Intelligence,0.0,4.0,4.8,21.2
Contagious Intelligence,0.2,3.8,4.0,5.6
Contagious Intelligence,0.4,3.1,2.7,-11.7
Contagious Intelligence,0.6,2.9,2.2,-24.5
Contagious Intelligence,0.8,3.6,2.6,-27.9
Contagious Intelligence,1.0,4.3,2.4,-44.8
#We Got This,0.0,4.1,5.0,22.3
#We Got This,0.2,3.7,4.0,8.3
#We Got This,0.4,3.8,3.3,-12.1
#We Got This,0.6,3.6,2.9,-18.2
#We Got This,0.8,2.9,1.9,-33.4
#We Got This,1.0,3.3,2.0,-38.1
