Unit,Unit Name,Topic,Molecule,Category,Source,Identifier,Fetch URL,View Page,Render Tier,Priority,ID Confidence,Teaching Note,CID,Has 3D,Stereo
1,Chemistry of Life,Water & inorganics,Water,Inorganic,PubChem,water,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/water/record/SDF/?record_type=3d,PubChem: water,Ball-and-stick,Core,Verified · H2O,"Polarity, H-bonding. Show partial charges.",962,yes,pinned (achiral)
1,Chemistry of Life,Water & inorganics,Water cluster (H-bonded),Inorganic,Model,"5 x water, H-bonds drawn",-- build in app --,-- build in app --,Built in-app,Core,n/a,"Cohesion, surface tension, high specific heat.",,,
1,Chemistry of Life,Water & inorganics,Ice lattice,Inorganic,Model,Hexagonal Ih unit cell,-- build in app --,-- build in app --,Built in-app,Standard,n/a,Why ice floats: lattice is less dense than liquid.,,,
1,Chemistry of Life,Water & inorganics,Hydronium ion,Inorganic,PubChem,hydronium,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/hydronium/record/SDF/?record_type=3d,PubChem: hydronium,Ball-and-stick,Standard,Verified · H3O+,pH / acid-base pairing with hydroxide.,123332,yes,pinned (achiral)
1,Chemistry of Life,Water & inorganics,Hydroxide ion,Inorganic,PubChem,hydroxide,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/hydroxide/record/SDF/?record_type=3d,PubChem: hydroxide,Ball-and-stick,Standard,Verified · HO-,Pair with hydronium for the pH lesson.,961,yes,pinned (achiral)
1,Chemistry of Life,Water & inorganics,Carbon dioxide,Inorganic,PubChem,carbon dioxide,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/carbon%20dioxide/record/SDF/?record_type=3d,PubChem: carbon dioxide,Ball-and-stick,Core,Verified · CO2,Nonpolar despite polar bonds - contrast with water.,280,yes,pinned (achiral)
1,Chemistry of Life,Water & inorganics,Oxygen (O2),Inorganic,PubChem,oxygen,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/oxygen/record/SDF/?record_type=3d,PubChem: oxygen,Ball-and-stick,Core,Verified · O2,"Product of photosynthesis, substrate of respiration.",977,yes,pinned (achiral)
1,Chemistry of Life,Water & inorganics,Nitrogen (N2),Inorganic,PubChem,nitrogen,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/nitrogen/record/SDF/?record_type=3d,PubChem: nitrogen,Ball-and-stick,Standard,Verified · N2,Triple bond - why nitrogen fixation is expensive.,947,yes,pinned (achiral)
1,Chemistry of Life,Water & inorganics,Methane,Inorganic,PubChem,methane,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/methane/record/SDF/?record_type=3d,PubChem: methane,Ball-and-stick,Standard,Verified · CH4,"Tetrahedral carbon, nonpolar covalent.",297,yes,pinned (achiral)
1,Chemistry of Life,Water & inorganics,Ammonia,Inorganic,PubChem,ammonia,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/ammonia/record/SDF/?record_type=3d,PubChem: ammonia,Ball-and-stick,Standard,Verified · H3N,"Lone pair, base, nitrogen cycle link.",222,yes,pinned (achiral)
1,Chemistry of Life,Water & inorganics,Hydrogen sulfide,Inorganic,PubChem,hydrogen sulfide,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/hydrogen%20sulfide/record/SDF/?record_type=3d,PubChem: hydrogen sulfide,Ball-and-stick,Extended,Verified · H2S,Chemosynthesis; contrast bent geometry with water.,402,yes,pinned (achiral)
1,Chemistry of Life,Water & inorganics,Sodium chloride lattice,Inorganic,PubChem,sodium chloride,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/sodium%20chloride/record/SDF/?record_type=3d,PubChem: sodium chloride,Ball-and-stick,Standard,Verified (no 3D) · ClNa,Ionic bonding vs covalent; hydration shells.,5234,no,pinned (achiral)
1,Chemistry of Life,Carbohydrates,alpha-D-glucose,Carbohydrate,PubChem,alpha-D-glucose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/alpha-D-glucose/record/SDF/?record_type=3d,PubChem: alpha-D-glucose,Ball-and-stick,Core,Verified · C6H12O6,OH below C1. Starch/glycogen monomer.,79025,yes,pinned (5)
1,Chemistry of Life,Carbohydrates,beta-D-glucose,Carbohydrate,PubChem,beta-D-glucose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/beta-D-glucose/record/SDF/?record_type=3d,PubChem: beta-D-glucose,Ball-and-stick,Core,Verified · C6H12O6,OH above C1. Cellulose monomer - side by side with alpha.,64689,yes,pinned (5)
1,Chemistry of Life,Carbohydrates,D-glucose (open chain),Carbohydrate,PubChem,D-glucose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/D-glucose/record/SDF/?record_type=3d,PubChem: D-glucose,Ball-and-stick,Core,Verified · C6H12O6,Linear aldose form; show ring-opening animation.,5793,yes,1 UNDEFINED
1,Chemistry of Life,Carbohydrates,D-fructose,Carbohydrate,PubChem,D-fructose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/D-fructose/record/SDF/?record_type=3d,PubChem: D-fructose,Ball-and-stick,Standard,Verified · C6H12O6,Ketose isomer of glucose - structural isomerism.,2723872,yes,1 UNDEFINED
1,Chemistry of Life,Carbohydrates,D-galactose,Carbohydrate,PubChem,D-galactose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/D-galactose/record/SDF/?record_type=3d,PubChem: D-galactose,Ball-and-stick,Standard,Verified · C6H12O6,Epimer of glucose; one -OH flipped.,6036,yes,1 UNDEFINED
1,Chemistry of Life,Carbohydrates,D-ribose,Carbohydrate,PubChem,D-ribose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/D-ribose/record/SDF/?record_type=3d,PubChem: D-ribose,Ball-and-stick,Core,Verified · C5H10O5,RNA sugar. Compare 2'-OH with deoxyribose.,10975657,yes,1 UNDEFINED
1,Chemistry of Life,Carbohydrates,2-Deoxy-D-ribose,Carbohydrate,PubChem,2-deoxy-D-ribose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/2-deoxy-D-ribose/record/SDF/?record_type=3d,PubChem: 2-deoxy-D-ribose,Ball-and-stick,Core,Verified · C5H10O4,DNA sugar. The missing 2'-OH is the whole lesson.,5460005,yes,pinned (2)
1,Chemistry of Life,Carbohydrates,Sucrose,Carbohydrate,PubChem,sucrose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/sucrose/record/SDF/?record_type=3d,PubChem: sucrose,Ball-and-stick,Core,Verified · C12H22O11,Glucose + fructose; phloem transport sugar.,5988,yes,pinned (9)
1,Chemistry of Life,Carbohydrates,Lactose,Carbohydrate,PubChem,lactose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/lactose/record/SDF/?record_type=3d,PubChem: lactose,Ball-and-stick,Standard,Verified · C12H22O11,Galactose + glucose; lactase / lactose intolerance.,6134,yes,pinned (10)
1,Chemistry of Life,Carbohydrates,Maltose,Carbohydrate,PubChem,maltose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/maltose/record/SDF/?record_type=3d,PubChem: maltose,Ball-and-stick,Standard,Verified · C12H22O11,Classic dehydration synthesis product.,439186,yes,1 UNDEFINED
1,Chemistry of Life,Carbohydrates,Cellobiose,Carbohydrate,PubChem,cellobiose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/cellobiose/record/SDF/?record_type=3d,PubChem: cellobiose,Ball-and-stick,Extended,Verified · C12H22O11,"beta-1,4 repeat unit of cellulose.",439178,yes,1 UNDEFINED
1,Chemistry of Life,Carbohydrates,Amylose segment,Carbohydrate,PubChem,amylose,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/amylose/record/SDF/?record_type=3d,PubChem: amylose,Ball-and-stick,Standard,Not found,"alpha-1,4 helix - energy storage.",,,
1,Chemistry of Life,Carbohydrates,Glycogen branch point,Carbohydrate,Model,"alpha-1,6 branched oligomer",-- build in app --,-- build in app --,Built in-app,Standard,n/a,Branching = more free ends = faster mobilization.,,,
1,Chemistry of Life,Carbohydrates,Cellulose microfibril,Carbohydrate,Model,"Parallel beta-1,4 chains",-- build in app --,-- build in app --,Built in-app,Core,n/a,"H-bonded sheets - structural strength, indigestible.",,,
